FG,Key1 TOT,Key 2 TOT,RTI TOT,Key3 TOT,Key1 CUT3,Key 2 CUT3,RTI CUT3,Key3 CUT3,Key1 CUT2,Key 2 CUT2,RTI CUT2,Key3 CUT2,Key1 CUT1,Key 2 CUT1,RTI CUT1,Key3 CUT1,Key1 ORI,Key 2 ORI,RTI ORI,Key3 ORI,Key1 ESSESH,Key 2 ESSESH,RTI ESSESH,Key3 ESSESH,Key1 SHKRAY,Key 2 SHKRAY,RTI SHKRAY,Key3 SHKRAY
SAR,-0.558828,1.505469,0.19412,0.787389,-0.566848,1.497449,0.211077,0.77937,-0.57255,1.491747,0.222987,0.773668,-0.582722,1.481575,0.21812,0.763495,-0.589217,1.475083,0.233642,0.757,-0.587688,1.476609,0.225227,0.75853,-0.594246,1.47005,0.233485,0.751971
EPI,-0.319638,0.936758,0.354666,0.405687,-0.323972,0.932424,0.388935,0.401353,-0.345032,0.911363,0.396603,0.380292,-0.35327,0.903125,0.389679,0.372054,-0.353187,0.903211,0.42378,0.372137,-0.354815,0.901581,0.405557,0.370509,-0.35449,0.901905,0.427146,0.370835
CEBH,-0.338449,2.033239,0.321005,1.125807,-0.383031,1.988656,0.320863,1.081224,-0.428987,1.9427,0.308962,1.035269,-0.470771,1.900917,0.281002,0.993485,-0.486002,1.885688,0.295005,0.978253,-0.50449,1.867197,0.271569,0.974488,-0.49734,1.874346,0.290555,0.981638
CEBS,-0.164613,2.177065,0.479161,1.268742,-0.188983,2.152695,0.501766,1.244372,-0.240068,2.10161,0.477483,1.193287,-0.255337,2.086341,0.461612,1.178018,-0.319053,2.022628,0.433423,1.114302,-0.3146,2.027078,0.420634,1.134549,-0.333081,2.008597,0.42425,1.100274
CEPH,-0.430916,2.830948,0.258479,1.276892,-0.433051,2.828813,0.284892,1.266157,-0.432742,2.829122,0.305162,1.257692,-0.444756,2.817109,0.297239,1.236723,-0.44869,2.813177,0.320274,1.241744,-0.453221,2.808644,0.30446,1.228259,-0.45187,2.809993,0.321425,1.229609
CEPS,0.15618,2.939487,1.0,1.758957,0.111789,2.895096,1.0,1.72529,0.062439,2.845746,0.955411,1.67594,-0.0728033,2.710503,0.700708,1.551163,-0.280563,2.502747,0.472202,1.343403,-0.190276,2.593031,0.558411,1.423225,-0.314989,2.468317,0.441001,1.308977
DNS,-0.399298,1.425152,0.282139,0.783451,-0.399862,1.424588,0.312097,0.782887,-0.39982,1.424629,0.334096,0.782929,-0.400029,1.424421,0.334389,0.78272,-0.404721,1.419732,0.359675,0.778028,-0.406662,1.417788,0.34396,0.776087,-0.408453,1.415997,0.360509,0.774296
DNH,-0.132028,2.087198,0.517274,1.285591,-0.140795,2.078432,0.561493,1.276824,-0.145429,2.073797,0.594636,1.27219,-0.25529,1.963936,0.462358,1.162328,-0.255992,1.963238,0.501912,1.161627,-0.261785,1.957441,0.475744,1.172224,-0.261283,1.957943,0.501272,1.156336
DRS,-0.607365,1.262226,0.174471,0.602741,-0.623262,1.246329,0.186302,0.586844,-0.633238,1.236353,0.194887,0.576868,-0.642776,1.226815,0.190912,0.56733,-0.665207,1.204388,0.19713,0.5449,-0.675266,1.194325,0.185026,0.53484,-0.672317,1.197273,0.196056,0.537789
DRH,-0.32046,2.162728,0.334255,1.172336,-0.328367,2.154821,0.363547,1.164429,-0.333525,2.149663,0.384542,1.17306,-0.733101,1.750087,0.153446,0.773484,-0.725729,1.757462,0.169699,0.780856,-0.781645,1.701543,0.143319,0.72494,-0.795307,1.68788,0.146163,0.711277
ARF,-0.903359,1.764074,0.0872331,0.653881,-0.93652,1.730912,0.089518,0.632619,-0.940485,1.726947,0.0949481,0.628654,-0.944543,1.72289,0.0941927,0.624596,-0.911809,1.755626,0.110434,0.65733,-1.039077,1.628355,0.0791358,0.530062,-1.036154,1.631278,0.0838483,0.544567
PWL,-0.336997,2.367465,0.321341,1.243647,-0.352786,2.351677,0.343216,1.239139,-0.35934,2.345122,0.361872,1.232585,-0.388187,2.316276,0.339076,1.214733,-0.29528,2.409185,0.456618,1.30764,-0.431604,2.272858,0.320456,1.160321,-0.428947,2.275515,0.339332,1.173973
SUP,0.0500367,1.317585,0.829395,0.85381,0.0393978,1.306946,0.896423,0.843171,0.0367795,1.304328,0.953752,0.840552,0.0291895,1.296738,0.9385,0.832962,0.0204052,1.287956,1.0,0.824178,0.0202994,1.287848,0.960359,0.824072,0.015667,1.283215,1.0,0.81944
Mb_O,0.132867,1.769957,0.969061,1.222429,0.0743592,1.71145,0.938068,1.163922,0.0725843,1.709675,1.0,1.162147,0.0719956,1.709086,1.0,1.161558,-0.0748108,1.562283,0.775432,1.014752,-0.131837,1.505254,0.653217,0.957726,-0.122284,1.514806,0.702763,0.967279
Mb_FF,-0.595348,1.419385,0.178655,0.731131,-0.598201,1.416533,0.196586,0.728279,-0.598745,1.415989,0.21016,0.727735,-0.600443,1.41429,0.209623,0.726036,-0.603596,1.41114,0.226275,0.722883,-0.607711,1.407022,0.215309,0.718768,-0.605718,1.409015,0.227643,0.720762
Mb_DF,-0.0422898,1.205045,0.672636,0.586737,-0.0428095,1.204525,0.744134,0.586217,-0.0428818,1.204453,0.796378,0.586145,-0.0433872,1.203947,0.796531,0.58564,-0.0421611,1.205176,0.868518,0.586866,-0.0438261,1.203508,0.831101,0.585201,-0.0435146,1.203819,0.875314,0.585512
