FG,SB,MM,TUR,XIP,THU,LPL,MPL,SPL,HAK0,HAK1,HAK2,HAK3,HAK4,MUL0,MUL1,MUL2,MUL3,TRA,PAG,DFS,DFH,DSM,DSP,DSR,MSC,MSG,MSP,ENG,SAR,EPI,CEBH,CEBS,CEPH,CEPS,DNS,DNH,DRS,DRH,ARF,PWL,SUP,Mb_O,Mb_FF,Mb_DF,Mb_C,Mb_PAR,Mb_SCA,Mb_H,Mb_GRA,Mb_SF,Mb_PF,BO,EUP,ZG,ZL,ZM,ZS,PB,BB,PS,DF,PL,MB,SG,MA,Dipturus_oxyrinchus,Myliobatis_aquila,RSH_C1,RSS_C1,SSH_C1,SSS_C1,SSS_C2,Torpedo_marmorata,DC,SPOM,BD
ARF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007724282,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.476264e-05,0.0,0.0,0.0,0.0,0.01782775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002458153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002209639,0.0,0.0,5.996069e-06,0.0,0.0,0.0,0.0,0.08267619,0.2066905,0.1240143
PWL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002651308,0.003236343,0.0001138675,0.0,0.0,0.0,0.0,0.02986295,0.0,8.635018e-05,0.0,0.0001313478,1.7467e-05,9.670125e-06,0.0007923444,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003251905,0.0,0.0005751696,0.0,0.0,5.758293e-07,0.05502903,0.05502903,0.1650871
SUP,0.0,0.0003226167,0.0065,2.7342e-05,0.0,0.01071073,0.01369936,0.004308433,0.0,0.01236577,0.002797443,0.0007658522,0.0,0.01665597,0.067411,0.004396,0.0006857976,0.07179055,0.00156167,0.2138462,3.340917,1.968247,0.003026157,0.196613,5.473912,0.01547506,0.07986795,0.04352359,4.681543,1.895994,2.197663,1.845347,0.1337742,0.08972497,1.444816,1.092235,0.8020186,0.4909275,0.291596,0.104412,0.01426856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009701001,0.0002058466,0.08137335,0.000287868,0.01651065,0.01309932,0.06269978,0.0003044982,7.684484,7.684484,23.05346
Mb_O,0.0,0.0,0.007499049,0.0,0.0,0.0108933,0.0110348,0.0,0.0,0.0,0.01016683,0.0001843366,0.0,0.004163992,0.01744209,0.0219716,0.01003789,0.06336919,0.01181721,0.03777821,0.1076465,0.1695044,0.008484595,0.09692366,1.57419,0.04507574,0.0,0.06854586,0.0,0.03052871,0.3732749,0.1917856,0.05679775,0.004084348,0.0001445972,0.2496446,0.6142206,0.1410075,0.4504505,0.351996,0.1664665,0.0351191,0.0,0.0,0.6672499,0.0543765,0.2856743,0.0,0.04072973,0.0,0.0,0.6934976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01679983,0.007080174,0.1807093,0.01955387,0.01917094,0.0002579633,0.001616104,0.0003348457,1.760224,4.40056,2.640337
Mb_FF,0.0,0.0,0.00780845,0.0,0.0,0.0,0.01496253,0.01301083,0.0,0.0,0.0,0.0,0.0,0.0,0.02265786,0.006627599,0.01356701,0.0,0.0004123152,0.0,0.01668521,0.0,0.0,0.02686361,0.004159808,0.01197086,0.0,0.008113283,0.0,0.0,0.03555755,0.0,0.0,0.0,0.03499253,0.01074665,0.1367409,0.15264,0.007197835,0.07068,0.0,1.357002,0.0,0.0,0.4502774,0.005704795,0.1288987,0.0,0.01837761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003972829,0.00649945,0.0,0.002115702,2.469483e-06,0.0001001418,6.077343e-05,0.6704496,1.676124,1.005674
Mb_DF,0.0,0.0,0.0001404,1.3818e-05,0.0,6.085645e-05,0.0001811329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01720749,0.08561,0.02009766,0.0,0.03987066,0.0001834941,0.1758944,0.0,0.0,0.05194791,0.09765645,0.0,0.0,0.0,0.0,0.0,0.03055727,0.0,0.05163432,0.004084348,0.2753131,0.005373324,0.6010917,0.0,0.0,0.12198,0.2584195,4.221315,0.0,0.0,2.958527,0.1253225,0.4177813,0.0,0.05956476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005091776,2.523995e-07,0.0003512241,1.381702e-05,0.009770718,3.866765e-05,0.001702465,0.0001290792,2.637403,6.593506,3.956104
Mb_C,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008327983,0.02050094,0.0228564,0.0127491,0.0,0.01448551,0.0003130194,0.0122717,0.0,0.0,0.02146768,0.0003961722,0.0,0.0,0.0,0.0,0.0,0.03789895,0.02077146,0.005163432,0.002058512,0.04048723,0.01611997,0.1553211,0.0,0.0,0.07068,1.36344,1.172275,0.0,0.0,0.01801505,0.02277852,0.07336017,0.0,0.01045926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.580713,1.161426,0.580713
Mb_PAR,0.0,0.0,0.0,0.0,0.0,0.0001217129,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001043154,0.0,0.0002339285,0.0,0.0,0.0,0.003767628,0.0,0.0,0.001402168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01966669,0.0,0.0,0.05661874,0.0,0.008001149,0.0,0.001140756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01885722,0.04714305,0.02828583
Mb_SCA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004051903,3.08e-05,0.001049312,0.0,0.008461006,7.555641e-05,0.02691163,0.0,0.0,0.005869766,0.06021818,0.0,0.0,0.0,0.0,0.0,0.03789895,0.02077146,0.05031248,0.0,0.004337917,0.1074665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01573843,0.006953101,0.0223993,0.0,0.003193559,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004769215,0.0,0.0,3.758696e-06,0.08493506,0.2123377,0.1274026
Mb_H,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001305467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008908544,0.000837625,0.002699654,0.0,0.0003849006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001854527,0.004636317,0.00278179
Mb_GRA,0.0,0.0,0.0259298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.901037e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01573843,0.001382488,0.004460298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01155149,0.02887871,0.01732723
Mb_SF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01415504,0.0,0.0005936575,0.0,0.0,0.0,1.934025e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01518271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03513926,0.001541067,0.004968929,0.0,0.0007084402,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07158098,0.1789524,0.1073715
Mb_PF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003252912,0.001036824,0.0,0.0001478241,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003562457,0.0008906142,0.0005343686
BO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008327983,0.004559814,0.0,0.0001119154,0.0,3.631791e-05,1.079377e-05,0.02992573,0.3283696,0.0,0.001885674,0.0,0.0,0.0,0.0,0.0,0.0,0.257316,0.0,0.0,0.0,0.2462491,0.1074665,0.2462257,0.01377,0.03096743,0.012828,0.3598848,0.009130965,0.0,0.0,0.1312526,0.001809433,0.005829688,0.0,0.0008311621,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07407814,0.5926251,0.8148596
EUP,2.464562e-05,0.0,0.0,0.0,0.001044488,6.085645e-05,0.06264337,0.0,0.03938974,0.08037747,0.01732744,0.00110792,0.0004957161,0.0,0.0,0.0,0.0,0.1493148,0.0,0.1472918,1.269368,0.927447,0.0008864502,0.04954005,0.7424268,0.0,0.07986795,0.6423142,0.0,0.3213549,0.0,0.0,0.05070491,0.0,0.01865304,0.01112278,0.6015524,0.0,0.07227726,0.070536,0.4946434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003644303,0.0,0.0,9.88916e-05,0.0001062138,0.03666155,0.0002397325,0.0,0.3256395,3.256395,2.930756
ZG,0.0,0.0,0.0,0.0,5.665853e-05,0.0,0.001577763,0.004415342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003284925,0.0,0.0,0.001076465,0.0,0.0,0.0,0.0,0.589467,0.0,0.0,0.0,0.8098143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002073859,0.1181721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.918641e-05,0.0,4.159335e-05,0.0,0.0,0.4353005,0.4353005
ZL,0.0,0.05721069,0.0,0.0,6.404878e-05,0.01947406,0.003365258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004728359,0.0,0.0,0.2986296,0.0,0.03700105,0.0001076465,0.0,0.0,1.934025e-05,0.2044249,0.5077386,0.0,0.3480371,0.2846195,0.1606774,0.0,0.0,0.0,0.08928385,2.719151,0.0,0.1402726,0.0,0.05064788,0.161292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2073029,1.181471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.921424e-05,0.0,0.0,5.213973e-07,0.0,0.0,0.0,0.0,0.0,4.674572,1.168643
ZM,0.0001120256,0.02150778,0.0,0.0,0.0,0.0003042823,0.0002240327,0.8043619,0.02363385,0.0,0.0,0.0,0.0,0.008327983,0.0,0.0,0.0,0.1468063,6.622678e-05,0.03886838,0.4811799,0.0,0.001406093,0.06001279,3.027746,0.3493315,0.0798535,3.743332,0.3445016,4.981,0.0,0.0,0.017566,0.0,0.01445972,0.0,0.1099455,0.0,0.03250982,0.041268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.101329,0.4145644,1.417816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001248926,0.0,0.0,3.38908e-05,0.0,0.0,0.0,0.0,0.0,18.06779,7.227115
ZS,0.0001120256,0.02150778,0.0,0.0,0.0,0.0,0.01076311,0.004329815,0.0157559,0.0,0.0,0.0,0.0,0.008327983,0.0,0.0,0.0,0.8886319,0.0,0.0,0.01765403,0.0,0.0,0.0,0.7311358,0.217935,0.0,2.274752,0.06154386,3.213549,0.0,0.0,0.04647089,0.0,0.1330295,0.07511906,0.1099455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.303986,0.8291288,4.726135,12.69366,10.80219,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.3628,21.74512
PB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.606774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.135524,4.689544,142.5464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.68213,18.4119
BB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01661808,0.0,0.0,0.0,0.0,0.0,0.0,0.004413507,0.386491,0.0,0.0,0.4952153,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.016952,0.1074665,0.0,0.0,0.0,0.0,45.75451,0.01580359,0.0,2.417856,0.2317211,0.007152341,0.02304487,0.004335893,0.003285601,0.0,0.0,2.77399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.16915,6.543556
PS,0.0001120256,0.0,0.0,0.0,0.0,0.0,0.0,0.008691702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.213549,0.0,0.0,0.0,0.0,0.7229862,0.2686662,0.3838879,0.1125,0.0,0.0,15.85396,0.0,1.342958,0.0,0.0,0.0,0.0,0.0,0.0,0.10636,0.0,0.0,3.101329,0.2073029,1.181471,3.751635,94.21442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235.2504,94.10017
DF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.202657,0.0,0.0,3.751635,0.5436941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05176841,0.02070737
PL,0.0001120256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005927266,1.606774,0.0,0.0,0.0,0.0,0.7229862,0.2686662,0.3838879,0.1125,0.0,0.0,15.91896,0.0,1.342958,0.0,0.0,0.0,0.0,0.0,0.0,0.10636,0.0,0.0,6.202657,0.2073029,1.181471,54.08544,20.75298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.9252,58.8397
MB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.407352,1.553318,1.342958,6.528212,0.0,0.0,0.0,0.004335893,0.01394567,0.2127201,0.001643952,1.386995,0.0,0.0,0.5908604,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.226925
SG,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06341582,1.564556,0.0,7.253569,0.0,0.0,0.0,0.001734357,0.01394567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.64811,62.17892
MA,0.0,0.0,0.0014768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007562038,0.0,0.0,0.0,0.0,0.0,0.3213549,0.0,0.0,0.02119073,0.0,0.0,0.2149329,0.0,0.056655,0.0,0.0,6.043528,1.548401,0.0,5.536891,0.0,0.0,0.0,0.01560922,0.01451745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.166013,14.38736
Dipturus_oxyrinchus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003579189,0.007158379,0.003579189
Myliobatis_aquila,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001438178,0.002876356,0.001438178
RSH_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004323206,0.0,0.0,1.173143e-05,0.0,0.0,0.0,0.0,0.08967599,0.179352,0.08967599
RSS_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002284386,0.004568772,0.002284386
SSH_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001425982,0.0,0.0,0.006169484,0.00956579,0.0,0.04781312,0.09562624,0.04781312
SSS_C1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007706944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.007689818,0.0,0.01479367,0.02958734,0.01479367
SSS_C2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004742148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001027639,0.0,0.01353082,0.02706164,0.01353082
Torpedo_marmorata,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.71371e-06,0.0,0.0,0.0002904673,0.0004503699,0.0,0.002223353,0.004446707,0.002223353
DC,0.0001120256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1493148,0.0,0.006411501,0.2569522,0.06567391,0.0178207,0.0107145,0.0,0.0,0.0,0.0,0.0,0.0,0.04345482,0.04723489,0.01012033,0.01602698,0.1667206,0.633085,1.669912,0.45,0.1684795,0.06426001,5.884988,7.038218,0.0,0.0,1.35489,0.04117781,0.4890678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003940813,0.04051422,0.0,0.004494648,0.0,0.000850101,0.0001542794,0.0,0.5279118,2.111647
SPOM,8.334701e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.001603635,0.0,0.0,0.0,0.0,0.0,0.004163992,0.00671673,0.0,0.0,0.05972591,0.003878539,0.0006044513,2.15293,1.313478,0.0,0.04835062,0.0,0.217652,0.0,0.2208784,0.1613657,7.868374,0.01785814,0.002123871,0.0008158223,0.05722989,1.716803,1.119371,0.2303327,0.315,0.0275359,0.0,15.85396,0.1548752,5.371831,2.417856,0.0,0.03431416,0.0,0.0,0.001458717,0.4254401,0.004109879,0.6934976,0.0,0.4145644,3.308319,14.81896,29.8733,503.2973,11.36586,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.109985
BD,0.0001787928,0.0001376317,0.0065,0.000221676,0.0,0.002385573,0.0,0.002672725,0.0,0.0,0.0,0.0,0.0,0.02747088,0.06144361,0.0,0.0,0.1186455,0.0,0.1056494,1.513618,1.035152,0.01331859,0.1418366,6.869566,0.217652,0.0,0.0,0.0,5.62371,0.3968477,0.04167035,0.07211249,0.04876712,3.552609,1.074665,0.7677758,0.405,0.02302829,0.0,42.10176,16.42941,4.028873,24.20274,3.962322,0.1029425,0.4890482,0.008671787,0.09622236,0.2127201,0.002465928,1.386995,3.101329,1.036349,4.726384,0.0,0.0,36.83717,178.0652,0.0,0.0,0.0,0.0,0.0,0.0,0.0001680372,7.802808e-05,0.008021818,4.320799e-06,0.005066695,0.001280363,0.001985203,0.0001739149,0.0,0.0,0.0
